id,Cultivar_Name,P,feature
0,YR91-24-7,Palgweng, 
1,YR91-24-7,Sigadis x TNI*3, 
2,YR6729,Etznan126, 
3,YR6729,Hukuhikari, 
4,YR4811-Acp8,YR4565, 
5,YR4811-Acp8,Milyang64, 
6,YR4565,Samnambyeo, 
7,YR4565,HR1702-65-3-4, 
8,YR4200,Wasetoramochi, 
9,YR4200,Hukunishiki, 
10,Sambeagbyeo,YR3818, 
11,Sambeagbyeo,YR3810, 
12,YR3818,Koshihikari, 
13,YR3818,YR2406-2-1-1, 
14,YR3810,Hokuriku, 
15,YR3810,Cheolweon29, 
16,YR3299-34-2-2,Suweon261 x IR29, 
17,YR3299-34-2-2,Milyang23 x Cheongcheongbyeo, 
18,YR28322,Dongjin1, 
19,YR28322,Hanmaeum, 
20,YR25779 x Koshihikari,YR25779, 
21,YR25779 x Koshihikari,Koshihikari, 
22,YR25779,YR21247-B-B-B-49-1, 
23,YR25779,Sasanishiki BL4, 
24,YR24982-9-1,Ilpumbyeo,ILPUMBYEO*7
25,YR24982-9-1,Shinkwang,ILPUMBYEO*7
26,YR23517Acp79,Hwacheongbyeo, 
27,YR23517Acp79,Sangjuchalbyeo, 
28,YR22838 x Dasanbyeo,YR22838, 
29,YR22838 x Dasanbyeo,Dasanbyeo, 
30,YR22838,YR18241-B-B-B-47-1, 
31,YR22838,YR18241-B-B-162-1-1, 
32,YR22791,YR18241-B-B-115-1-1, 
33,YR22791,IR50, 
34,YR22722-B-B-B-25-1 x Cheongmu,YR22722-B-B-B-25-1, 
35,YR22722-B-B-B-25-1 x Cheongmu,Cheongmu, 
36,YR22722-B-B-B-25-1,YR20649-B-B-B-GH2, 
37,YR22722-B-B-B-25-1,YR20646-71-GH1, 
38,YR22517-Acp79(ge),Hwacheongbyeo, 
39,YR21556,Nakdongbyeo, 
40,YR21556,YR21279, 
41,YR21279,YR20635, 
42,YR21279,Nakdongbyeo, 
43,YR21258-GH3,Milyang64,Junam*4
44,YR21258-GH3,Junam,Junam*4
45,YR21247-B-B-B-49-1 x Sasanishiki BL4,YR21247-B-B-B-49-1, 
46,YR21247-B-B-B-49-1 x Sasanishiki BL4,Sasanishiki BL4, 
47,YR21247-B-B-B-49-1,Junam,JUNAM*3
48,YR21247-B-B-B-49-1,Koshihikari,JUNAM*3
49,YR20649-B-B-B-GH2,Junam,MANMI*2
50,YR20649-B-B-B-GH2,Daesanbyeo,MANMI*2
51,YR20646-71-GH1,YR019300F2, 
52,YR20646-71-GH1,Junam, 
53,YR19105-Acp222,YR18627, 
54,YR19105-Acp222,Hwayeongbyeo, 
55,YR18627,YR16512-B-B-B, 
56,YR18627,YR17545, 
57,YR18241-B-B-B-47-1,IR66738, 
58,YR18241-B-B-B-47-1,Gayabyeo, 
59,YR18241-B-B-47-1 x YR18241-B-B-210-1,YR18241-B-B-47-1, 
60,YR18241-B-B-47-1 x YR18241-B-B-210-1,YR18241-B-B-210-1, 
61,YR18241-B-B-47-1,IR66160-118-1-2, 
62,YR18241-B-B-47-1,Gayabyeo, 
63,YR18241-B-B-210-1,IR66160-118-1-2, 
64,YR18241-B-B-210-1,Gayabyeo, 
65,YR18241-B-B-162-1-1,IR66738, 
66,YR18241-B-B-162-1-1,Gayabyeo, 
67,YR18241-B-B-115-1-1,IR66738-118-1-2, 
68,YR18241-B-B-115-1-1,Gayabyeo, 
69,YR18114-Acp19,Hoanbyeo, 
70,YR18114-Acp19,YR13616-Acp1, 
71,YR18009-Acp60,YR16465-Acp2, 
72,YR18009-Acp60,Ilpumbyeo, 
73,YR17545,YR17309, 
74,YR17545,YR17260, 
75,YR17309,IR66738-118-1-2, 
76,YR17309,Hwayeongbyeo, 
77,YR17260,IR70511 F2, 
78,YR17260,Ilpumbyeo, 
79,YR17082-R-R-B-4-2,Milyang95, 
80,YR17082-R-R-B-4-2,SHEN NEUG 89-366, 
81,YR16512-B-B-B,Shennong89-366, 
82,YR16512-B-B-B,SR13904, 
83,YR16465-Acp2,Suweon366, 
84,YR16465-Acp2,Hwayeongbyeo, 
85,YR16365-Acp13 x Sindongjin,YR16365-Acp13, 
86,YR16365-Acp13 x Sindongjin,Sindongjin, 
87,YR15664-Acp1,Hwayeongbyeo, 
88,YR15664-Acp1,YR13616-Acp1, 
89,YR13616-Acp1,Hwayeongbyeo, 
90,YR13616-Acp1,Ou329 x YR7632-Acp19, 
91,YR13604-Acp22,Hwayeongbyeo, 
92,YR13604-Acp22,YR12894, 
93,YR12894,Calrose, 
94,YR12894,Kinuhikari, 
95,YR12733-B-B-5-1,Yeungnam, 
96,YR12733-B-B-5-1,Iri380 x Milyang95, 
97,Youngjin,YR22722-B-B-B-25-1 x Cheongmu, 
98,Youngjin,Saenuri, 
99,Yongmunbyeo,Taebaekbyeo, 
100,Yongmunbyeo,Milyang29, 
101,Yongjubyeo x Dasanbyeo,Yongjubyeo, 
102,Yongjubyeo x Dasanbyeo,Dasanbyeo, 
103,Yongjubyeo,SR9373-71-3, 
104,Yongjubyeo,Pungsanbyeo, 
105,Yeongwoo,SR25848-C99-1-2-1, 
106,Yeongwoo,Yongmunbyeo, 
107,Yeongpung,Milyang23,Milyang23*2
108,Yeongpung,IR2061,Milyang23*2
109,Yeongnambyeo,Dongjinbyeo x Hokuriku111, 
110,Yeongnambyeo,Dongjinbyeo x Saikai152, 
111,Yeongdeog44 x Cheongho,Cheongho, 
112,Yeongdeog44 x Cheongho,Yeongdeog44, 
113,Yeongdeog44,Haepyeong, 
114,Yeongdeog44,Koshihikari, 
115,Yeongdeog35,YR15664-Acp1, 
116,Yeongdeog35,Sobi, 
117,Pungmi,Hwayeongbyeo, 
118,Pungmi,Kinuhikari, 
119,Samdeog,YR12733-B-B-5-1, 
120,Samdeog,Hwayeongbyeo, 
121,Yeongdeog31,Iri412, 
122,Yeongdeog31,Hwasambyeo, 
123,Yeongbo,Yeongdeog35, 
124,Yeongbo,Saegyewha, 
125,Yechan,Hopum, 
126,Yechan,Haepum, 
127,Wasetoramochi x EESD.7,Wasetoramochi, 
128,Wasetoramochi x EESD.7,EESD.7, 
129,Wasetoramochi,Chunggyena8 x Fujiminori, 
130,Wasetoramochi,Shimokita, 
131,Unkwang x YR25779,Unkwang, 
132,Unkwang x YR25779,YR25779, 
133,Unkwang x Koshihikari,Unkwang, 
134,Unkwang x Koshihikari,Koshihikari, 
135,Unkwang,Sobi, 
136,Unkwang,Cheolweon54, 
137,unilchal,Unkwang, 
138,unilchal,Sangjuchalbyeo, 
139,Jopyeong,HR16683-46-3-1, 
140,Jopyeong,HR18129-B-16-1-4, 
141,Unmi,Samcheonbyeo, 
142,Unmi,HR17870, 
143,Unbong36 x Jinbuchalbyeo,Unbong36, 
144,Unbong36 x Jinbuchalbyeo,Jinbuchalbyeo, 
145,Unbong36,HR14073, 
146,Unbong36,Suweon416, 
147,Unbong31,Sobi, 
